date,measure,prediction,lower,upper
2020-01-01,deaths_direct_alcohol,169975.4392134995,167722.23479916368,172228.64362783535
2020-01-01,deaths_direct_drug,132915.61416295357,130728.7477759056,135102.48055000152
2020-01-01,deaths_risk_alcohol,3981863.9050256726,3952574.314200707,4011153.4958506385
2020-01-01,deaths_risk_drug,869652.1974977012,861157.5603984568,878146.8345969456
2020-01-01,deaths_risk_tobacco,8886313.568832077,8820570.957961954,8952056.1797022
2021-01-01,deaths_direct_alcohol,170663.89308699156,165814.8030894786,175512.98308450452
2021-01-01,deaths_direct_drug,136378.93819792877,131530.26992742234,141227.6064684352
2021-01-01,deaths_risk_alcohol,4055083.057369093,4010365.214056401,4099800.900681785
2021-01-01,deaths_risk_drug,888214.3737908967,869353.3188278243,907075.4287539691
2021-01-01,deaths_risk_tobacco,9056445.542229418,8939559.761951458,9173331.322507378
2022-01-01,deaths_direct_alcohol,170956.32602174894,163526.94803976692,178385.70400373096
2022-01-01,deaths_direct_drug,138794.23363103598,130660.45054447697,146928.016717595
2022-01-01,deaths_risk_alcohol,4127424.5888288203,4059360.7688175123,4195488.408840128
2022-01-01,deaths_risk_drug,907047.566514535,878771.9931333906,935323.1398956794
2022-01-01,deaths_risk_tobacco,9232537.33930706,9050320.94834806,9414753.73026606
2023-01-01,deaths_direct_alcohol,171080.54207256009,161406.75390901236,180754.3302361078
2023-01-01,deaths_direct_drug,140478.64201161952,129022.83053612687,151934.4534871122
2023-01-01,deaths_risk_alcohol,4200995.050732984,4106726.217772255,4295263.883693713
2023-01-01,deaths_risk_drug,923955.6862829945,885123.9350548153,962787.4375111737
2023-01-01,deaths_risk_tobacco,9414797.736214431,9155526.67609928,9674068.796329582
2024-01-01,deaths_direct_alcohol,171133.30503269628,159513.87566418247,182752.7344012101
2024-01-01,deaths_direct_drug,141653.33540675836,126999.03376900655,156307.63704451016
2024-01-01,deaths_risk_alcohol,4275188.454069531,4151299.622354453,4399077.285784609
2024-01-01,deaths_risk_drug,940046.1758471604,890310.7338481719,989781.6178461489
2024-01-01,deaths_risk_tobacco,9603442.822652986,9256419.131350007,9950466.513955966
