year,deaths_direct_drug,deaths_direct_alcohol,deaths_risk_tobacco,deaths_risk_drug,deaths_risk_alcohol,total_deaths,data_type
1990,56263.0,116507.0,6805521.0,354999.0,2462885.0,9796175.0,Actual
1991,62030.0,122601.0,6905741.0,378933.0,2517654.0,9986959.0,Actual
1992,66980.0,131791.0,7028446.0,404156.0,2581091.0,10212464.0,Actual
1993,71776.0,144036.0,7198526.0,434972.0,2657647.0,10506957.0,Actual
1994,76918.0,154010.0,7300766.0,467525.0,2727260.0,10726479.0,Actual
1995,80211.0,156877.0,7353323.0,494800.0,2765782.0,10850993.0,Actual
1996,81960.0,156537.0,7376423.0,516073.0,2789684.0,10920677.0,Actual
1997,82851.0,155636.0,7414804.0,535950.0,2824640.0,11013881.0,Actual
1998,85397.0,156518.0,7446271.0,559938.0,2859211.0,11107335.0,Actual
1999,87686.0,160872.0,7522023.0,589692.0,2913566.0,11273839.0,Actual
2000,90061.0,166398.0,7610726.0,617378.0,2969219.0,11453782.0,Actual
2001,87722.0,171139.0,7665143.0,637408.0,3013812.0,11575224.0,Actual
2002,85162.0,175701.0,7753890.0,656117.0,3083166.0,11754036.0,Actual
2003,82661.0,179300.0,7806634.0,670862.0,3142881.0,11882338.0,Actual
2004,82259.0,180925.0,7794140.0,683063.0,3182179.0,11922566.0,Actual
2005,85425.0,182155.0,7852603.0,705104.0,3250625.0,12075912.0,Actual
2006,85907.0,178208.0,7775078.0,711083.0,3267219.0,12017495.0,Actual
2007,86490.0,174469.0,7778110.0,716849.0,3316373.0,12072291.0,Actual
2008,87636.0,172084.0,7861840.0,724960.0,3404264.0,12250784.0,Actual
2009,87592.0,167203.0,7872356.0,720187.0,3416851.0,12264189.0,Actual
2010,88653.0,164774.0,7934869.0,723333.0,3477557.0,12389186.0,Actual
2011,89904.0,161825.0,7971217.0,729116.0,3485683.0,12437745.0,Actual
2012,91522.0,159824.0,8018370.0,728621.0,3532905.0,12531242.0,Actual
2013,95159.0,159284.0,8069401.0,733757.0,3571100.0,12628701.0,Actual
2014,99907.0,159725.0,8122072.0,742532.0,3595860.0,12720096.0,Actual
2015,106066.0,161142.0,8231363.0,764012.0,3654901.0,12917484.0,Actual
2016,113597.0,162475.0,8328641.0,787571.0,3717812.0,13110096.0,Actual
2017,119057.0,163026.0,8412260.0,802246.0,3773019.0,13269608.0,Actual
2018,123833.0,165888.0,8561201.0,820555.0,3838980.0,13510457.0,Actual
2019,128788.0,168357.0,8729335.0,846194.0,3914936.0,13787610.0,Actual
2020,132915.61416295357,169975.4392134995,8886313.568832077,869652.1974977012,3981863.9050256726,14040720.724731904,Forecast
2021,136378.93819792877,170663.89308699156,9056445.542229418,888214.3737908967,4055083.057369093,14306785.804674327,Forecast
2022,138794.23363103598,170956.32602174894,9232537.33930706,907047.566514535,4127424.5888288203,14576760.0543032,Forecast
2023,140478.64201161952,171080.54207256009,9414797.736214431,923955.6862829945,4200995.050732984,14851307.657314587,Forecast
2024,141653.33540675836,171133.30503269628,9603442.822652986,940046.1758471604,4275188.454069531,15131464.093009131,Forecast
